schema_version,status,failure_class,run_id,scenario_id,experiment_name,experiment_category,allocator,seed,warmup_iterations,measured_repetitions,params_hash,run_timestamp_utc,os_name,os_version,arch,compiler_name,compiler_version,build_type,build_flags,cpu_model,cpu_cores_logical,cpu_cores_physical,phase_duration_ns,repetition_min_ns,repetition_max_ns,repetition_mean_ns,repetition_median_ns,repetition_p95_ns,alloc_ops_total,free_ops_total,bytes_allocated_total,bytes_freed_total,peak_live_count,peak_live_bytes,final_live_count,final_live_bytes,ops_per_sec_mean,throughput_bytes_per_sec_mean,failed_alloc_count,fallback_count,reserved_bytes,overhead_ratio,overhead_ratio_req
summary.v5,"valid","none","run_773_seed0","null|seed=0|reps=5","null","test","none",0,3,5,00000000,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,,,,,,,,,,,,,,,,,,,,,
summary.v5,"valid","none","run_773_seed0","simple_alloc|seed=0|reps=5","simple_alloc","allocation","DefaultAllocator",0,3,5,00000000,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,,,,,,,100397,50755,3631382,1837680,10029,363945,0,0,941504.335627,16762778.567595,0,,,,
summary.v5,"valid","none","run_773_seed0","article1/malloc/fifo/fixed_small|seed=42|reps=5","article1/malloc/fifo/fixed_small","article1","malloc",42,3,5,243f7daf,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,104009100,102434500,104848500,103503820.000000,103236200,104848500,255687,250465,8181984,8014880,1000,32000,0,0,1006643.849406,32212603.180995,0,,,,
summary.v5,"valid","none","run_774_seed0","article1/malloc/fifo/variable_size|seed=42|reps=5","article1/malloc/fifo/variable_size","article1","malloc",42,3,5,419f87ec,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,104509700,104509700,105994300,105115700.000000,105040900,105994300,255917,250235,66577682,65118655,1000,268051,0,0,956848.981482,124425933.669315,0,,,,
summary.v5,"valid","none","run_774_seed0","article1/malloc/fifo/churn|seed=42|reps=5","article1/malloc/fifo/churn","article1","malloc",42,3,5,e5b22861,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,209876800,207121200,210911100,209100140.000000,209876800,210911100,503652,500000,20167642,20019735,500,21056,0,0,992851.469420,39980142.970612,0,,,,
summary.v5,"valid","none","run_775_seed0","article1/malloc/lifo/fixed_small|seed=42|reps=5","article1/malloc/lifo/fixed_small","article1","malloc",42,3,5,9b012b2e,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,106901200,105122700,106901200,105754640.000000,105731700,106901200,255687,250465,8181984,8014880,1000,32000,0,0,1067008.109262,34144259.496372,0,,,,
summary.v5,"valid","none","run_776_seed0","article1/malloc/lifo/variable_size|seed=42|reps=5","article1/malloc/lifo/variable_size","article1","malloc",42,3,5,6349c7f1,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,106998600,105334400,107815200,106269840.000000,105622900,107815200,255917,250235,66577682,65123240,1000,257167,0,0,990589.400693,250032689.450223,0,,,,
summary.v5,"valid","none","run_776_seed0","article1/malloc/lifo/churn|seed=42|reps=5","article1/malloc/lifo/churn","article1","malloc",42,3,5,690771bc,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,204618900,204618900,224091200,210135620.000000,207199100,224091200,503652,500000,20167642,20020675,500,20245,0,0,998003.992016,40187624.750499,0,,,,
summary.v5,"valid","none","run_777_seed0","article1/malloc/random/fixed_small|seed=42|reps=5","article1/malloc/random/fixed_small","article1","malloc",42,3,5,3df3a31d,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,107591400,107215900,108068000,107588660.000000,107591400,108068000,255687,250465,8181984,8014880,1000,32000,0,0,1023751.023751,32760032.760033,0,,,,
summary.v5,"valid","none","run_778_seed0","article1/malloc/random/variable_size|seed=42|reps=5","article1/malloc/random/variable_size","article1","malloc",42,3,5,96fcf41a,"0","Windows","10.0.26200","x64","MSVC","19.38.33145.0","Release","debug=0;opt=1;asserts=0;tracking=0;cmake_flags=","Intel(R) Core(TM) Ultra 9 275HX",24,24,107451500,106800700,109658300,107725140.000000,107451500,109658300,255917,250235,66577682,65101089,1000,271192,0,0,1046682.018003,264190914.800084,0,,,,
